Data Time Iterations
105 104233 1799
231 152900 5565
351 31526 10205
465 28413 15375
595 31100 22049
703 72346 28157
820 111633 35300
946 110053 43559
1081 173486 53015
1225 199600 63749
1326 215173 71655
1431 221853 80189
1596 296253 94220
1711 325286 104429
1830 320233 115350
1953 415553 127007
2080 357366 139424
2211 406646 152625
2278 472266 159527
2415 479173 173949
2556 513933 189215
2701 445986 205349
2775 532473 213749
2926 647566 231230
3081 737980 249639
3160 677666 259199
3321 682460 279045
3403 830206 289337
3570 769173 310674
3655 799180 321725
3828 964400 344607
3916 794540 356444
4005 838820 368549
4186 718626 393575
4278 1043853 406502
4371 1029806 419709
4560 1223073 446975
4656 1089033 461040
4753 1107000 475397
4950 1140073 504999
5050 1180140 520250
5151 1156380 535805
5253 1203800 551667
5356 1282933 567839
5565 1183886 601125
5671 1231966 618245
5778 1595780 635687
5886 1204573 653454
5995 1266113 671549
6105 1213420 689975
6216 1352040 708735
6441 1247093 747269
6555 1156040 767049
6670 1416353 787175
6786 1373060 807650
6903 1178126 828477
7021 1313533 849659
7140 1323893 871199
7260 1467720 893100
7381 1563213 915365
7503 2034926 937997
7626 1640433 960999
7750 1629606 984374
7875 1404693 1008125
8001 1429640 1032255
8128 1380873 1056767
8256 1565426 1081664
8385 1506593 1106949
8515 1662566 1132625
8646 1491006 1158695
8778 1715226 1185162
8911 1810520 1212029
9045 1681886 1239299
9180 1648046 1266975
9180 1725960 1266975
9316 1726213 1295060
9453 1609873 1323557
9591 1943633 1352469
9730 2510140 1381799
9870 2133526 1411550
10011 1970806 1441725
10153 2360153 1472327
10296 2223753 1503359
10296 1849273 1503359
10440 2004786 1534824
10585 1930400 1566725
10731 2027153 1599065
10878 2424880 1631847
11026 2532946 1665074
11175 2312246 1698749
11175 2092946 1698749
11325 2275313 1732875
11476 2131513 1767455
11628 2288320 1802492
11781 2473146 1837989
11781 2354133 1837989
11935 2408686 1873949
12090 2474926 1910375
12246 2509893 1947270
12403 2544133 1984637
