Data Time Iterations
105 194973 2380
231 144793 9910
351 207560 21888
465 272946 37691
595 322746 61307
703 499273 84681
820 703886 114218
946 760073 151566
1081 1189973 196825
1225 1330120 251188
1326 1492220 293789
1431 1687686 343255
1596 2242513 423651
1711 2591666 486932
1830 2732640 558235
1953 3454580 637034
2080 3282353 720830
2211 3860640 809408
2278 4443213 868003
2415 4789280 975187
2556 5362406 1086896
2701 5592580 1209801
2775 5879740 1281993
2926 7397293 1424058
3081 8321413 1585473
3160 7573646 1657290
3321 7920606 1836153
3403 9749873 1916763
3570 9457353 2124866
3655 10039566 2215262
3828 10738000 2424027
3916 10164886 2558340
4005 11183393 2656359
4186 11881146 2894099
4278 14556633 3035757
4371 15259413 3177100
4560 16042473 3455351
4656 17470833 3581255
4753 19083413 3741571
4950 19944766 4068917
5050 17589066 4217862
5151 19474060 4419315
5253 18991013 4572796
5356 20125453 4742787
5565 18895180 5134110
5671 23077346 5348267
5778 23177220 5521065
5886 21836426 5733711
5995 25283073 5936278
6105 23165280 6175475
6216 24958500 6415128
6441 25497513 6891769
6555 26075360 7085451
6670 26953146 7396189
6786 28849200 7638757
6903 23016666 7923230
7021 28195333 8178341
7140 29456226 8455253
7260 33194033 8720823
7381 29937060 9030664
7503 36488800 9336891
7626 41570986 9624759
7750 39185526 9941891
7875 33224720 10292953
8001 35486333 10621913
8128 37771613 10918224
8256 40418926 11334109
8385 36721086 11662516
8515 42056546 12034571
8646 37949340 12375149
8778 40731833 12779989
8911 45368920 13155837
9045 44255446 13551347
9180 41937420 14001421
9180 46533066 13982026
9316 47166746 14384489
9453 49396586 14821588
9591 51281933 15186053
9730 53080673 15675581
9870 50824166 16107972
10011 55006266 16554409
10153 63703106 17029897
10296 54635126 17582943
10296 54002900 17599713
10440 58368933 18006236
10585 60761626 18594162
10731 57535866 19021257
10878 60245886 19601454
11026 67360300 20214547
11175 88555286 20654658
11175 57721120 20681351
11325 54632806 21241964
11476 57788040 21835506
11628 58062286 22424301
11781 61122533 23004342
11781 65238306 22996676
11935 65520613 23617723
12090 66322520 24208216
12246 65043626 24902035
12403 67174086 25474276
